sale_id;purchase_id;product_id;sale_total_BRL;total_cost_BRL;gross_profit_BRL
666;795;15;132524.05;132698.3;-174.25
7765;825;22;74960.7;78914.86;-3954.1600000000035
5256;846;78;1461139.0;1461304.56;-165.56000000005588
4997;793;133;1893.0;1704.33;188.67000000000007
4294;742;44;51332.3;54040.0;-2707.699999999997
8211;800;67;257367.0;257397.24;-30.239999999990687
3549;814;53;662886.25;697853.0;-34966.75
3131;658;130;53873.0;53879.409999999996;-6.4099999999962165
2300;855;95;596858.4;628342.02;-31483.619999999995
1230;763;91;512566.8;539607.16;-27040.360000000044
4212;852;96;402538.75;453833.46;-51294.71000000002
5239;632;48;206309.0;206332.69999999998;-23.699999999982538
9562;743;18;186007.0;186027.44999999998;-20.449999999982538
9161;844;145;60898.0;60905.03999999999;-7.039999999993597
7899;846;78;809714.45;852427.66;-42713.21000000008
7777;770;25;126721.45;123487.87;3233.5800000000017
7479;844;145;17399.0;17401.44;-2.4399999999986903
7082;652;140;17866.65;20013.96;-2147.3099999999977
6552;752;46;59805.0;59827.31999999999;-22.319999999992433
6459;763;91;1079088.0;1079214.32;-126.32000000006519
5121;777;61;308205.0;287828.86;20376.140000000014
3793;837;4;6425.8;6764.52;-338.72000000000025
4034;700;86;710775.75;748270.4;-37494.65000000002
663;827;147;25907.45;27273.69;-1366.239999999998
4150;589;33;6716.0;7028.26;-312.2600000000002
1238;853;149;4654.0;4429.52;224.47999999999956
2171;842;117;23387.1;25694.52;-2307.420000000002
1083;821;119;9278.65;9568.349999999999;-289.6999999999989
2513;607;82;147156.9;154822.95;-7666.0500000000175
2920;625;50;21424.4;22554.6;-1130.199999999997
3525;793;133;11356.0;10225.98;1130.0200000000004
2476;599;126;25432.45;26773.600000000002;-1341.1500000000015
6561;824;131;1927.0;1927.44;-0.44000000000005457
9975;680;8;71023.9;72030.15000000001;-1006.2500000000146
8378;841;36;339021.0;344035.35;-5014.349999999977
8172;320;72;1136177.2;1519503.72;-383326.52
7226;762;26;17283.0;17285.21;-2.209999999999127
6966;353;74;1298378.0;1298578.95;-200.94999999995343
5896;824;131;7709.0;7709.76;-0.7600000000002183
4010;696;63;1728477.5;1819665.3800000001;-91187.88000000012
3713;821;119;3256.0;3189.45;66.55000000000018
3510;751;123;22217.0;22586.16;-369.15999999999985
